,Year,Transmission,Owner_Type,Engine (CC),Power (bhp),Price
0,2010.0,1,0,998.0,58.16,1.75
1,2015.0,1,0,1582.0,126.2,12.5
2,2011.0,1,0,1199.0,88.7,4.5
3,2012.0,1,0,1248.0,88.76,6.0
4,2013.0,0,2,1968.0,140.8,17.74
5,2012.0,1,0,814.0,55.2,2.35
6,2013.0,1,0,1461.0,63.1,3.5
7,2016.0,0,0,2755.0,171.5,17.5
8,2013.0,1,0,1598.0,103.6,5.2
9,2012.0,1,2,1248.0,74,1.95
10,2018.0,1,0,1462.0,103.25,9.95
11,2012.0,0,0,1497.0,116.3,4.49
12,2015.0,1,0,1248.0,74,5.6
13,2014.0,0,0,2179.0,187.7,27.0
14,2012.0,0,2,2179.0,115,17.5
15,2014.0,1,0,2477.0,175.56,15.0
16,2016.0,1,0,1498.0,98.6,5.4
17,2017.0,1,0,1248.0,74,5.99
18,2014.0,1,0,1461.0,83.8,6.34
19,2014.0,0,0,2143.0,167.62,28.0
20,2014.0,0,0,1995.0,190,18.55
21,2015.0,1,2,1248.0,88.5,8.25
22,2015.0,0,0,1984.0,177.01,23.5
23,2010.0,1,0,1197.0,80,1.87
24,2010.0,0,0,1598.0,103.6,2.85
25,2012.0,1,0,1461.0,116.3,4.25
26,2012.0,1,0,1461.0,63.1,4.25
27,2013.0,1,2,998.0,67.1,2.75
28,2018.0,1,0,2494.0,88.7,9.9
29,2007.0,1,1,2494.0,108.45,4.0
30,2013.0,1,0,1461.0,108.45,7.75
31,2012.0,1,0,1798.0,138.1,6.75
32,2013.0,0,2,2696.0,184,12.5
33,2010.0,0,0,2698.0,179.5,11.5
34,2014.0,1,2,1598.0,103.5,6.98
35,2009.0,1,2,1061.0,64,1.85
36,2018.0,1,0,1248.0,88.5,8.63
37,2017.0,1,0,1198.0,82,4.85
38,2013.0,0,0,2987.0,254.8,28.0
39,2013.0,1,0,1199.0,73.9,5.0
40,2008.0,1,2,796.0,46.3,1.25
41,2014.0,1,0,624.0,37.5,1.53
42,2017.0,1,0,1198.0,77,5.58
43,2014.0,1,0,1197.0,82.9,4.74
44,2014.0,0,0,1999.0,149.92,8.85
45,2016.0,0,0,1798.0,138.03,10.11
46,2008.0,1,2,1991.0,112.2,4.25
47,2012.0,1,0,2694.0,163.7,10.95
48,2014.0,1,0,1120.0,71,3.85
49,2012.0,1,2,2498.0,105,5.5
50,2015.0,0,0,1968.0,174.33,21.43
51,2014.0,1,0,1248.0,74,4.25
52,2014.0,1,0,1248.0,75,3.3
53,2013.0,1,0,1248.0,74,3.85
54,2015.0,1,3,1197.0,82,3.6
55,2015.0,1,0,1598.0,103.2,3.99
56,2017.0,1,0,799.0,53.3,3.3
57,2010.0,1,0,1197.0,78.9,2.07
58,2010.0,0,0,1995.0,147.6,7.75
59,2010.0,1,0,998.0,67.1,2.25
60,2017.0,1,0,2393.0,147.8,16.5
61,2010.0,1,0,1399.0,68,2.75
62,2015.0,0,0,1796.0,186,26.7
63,2011.0,1,2,2148.0,170,10.0
64,2016.0,1,0,1396.0,69,2.5
65,2012.0,0,0,1968.0,140,13.5
66,2007.0,0,2,1497.0,78,1.85
67,2019.0,0,0,1950.0,194,35.67
68,2016.0,1,0,1248.0,88.5,8.15
69,2018.0,1,0,1396.0,88.7,10.5
70,2008.0,0,0,4806.0,500,14.5
71,2015.0,1,0,2179.0,140,9.65
72,2012.0,0,0,1197.0,78.9,3.48
73,2015.0,1,0,1461.0,108.5,6.92
74,2016.0,0,2,1198.0,86.8,6.46
75,2014.0,0,2,1968.0,187.74,29.5
76,2008.0,1,0,1399.0,132,2.0
77,2006.0,1,3,1998.0,132,4.5
78,2012.0,1,0,2494.0,102,11.75
79,2005.0,1,0,1086.0,74,1.3
80,2012.0,1,0,1248.0,74,3.75
81,2017.0,1,0,1193.0,88.7,4.5
82,2016.0,1,0,1198.0,86.7,4.82
83,2012.0,1,0,1399.0,68,2.8
84,2013.0,1,0,1248.0,73.94,3.11
85,2009.0,1,0,1497.0,117.3,3.25
86,2011.0,0,2,1995.0,218,13.9
87,2009.0,1,0,1197.0,78.9,2.25
88,2016.0,1,0,1197.0,82,5.75
89,2007.0,1,0,1086.0,86.7,2.1
90,2016.0,1,0,1198.0,86.7,5.0
91,2014.0,1,0,2982.0,168.5,16.5
92,2018.0,0,0,1968.0,174.33,39.58
93,2013.0,1,0,1498.0,89.84,5.5
94,2014.0,1,0,2179.0,140,8.1
95,2015.0,1,0,1498.0,98.6,3.5
96,2013.0,1,0,1199.0,73.9,2.79
97,2010.0,1,0,1493.0,110,3.45
98,2016.0,1,0,998.0,67.1,4.45
99,2010.0,1,0,1598.0,103.5,2.65
100,2011.0,1,2,1396.0,90,3.8
101,2014.0,1,0,1197.0,82.85,4.65
102,2017.0,1,0,1198.0,67,3.95
103,2010.0,0,0,2967.0,241.4,9.8
104,2009.0,1,2,1197.0,80,2.7
105,2010.0,1,0,796.0,35,2.41
106,2014.0,1,0,1197.0,78.9,3.9
107,2011.0,0,2,2993.0,270.9,24.0
108,2012.0,1,2,2179.0,140,5.75
109,2014.0,0,0,1582.0,126.32,5.25
110,2017.0,0,0,2755.0,171.5,19.25
111,2017.0,1,0,1196.0,73,3.91
112,2014.0,1,0,624.0,37.5,2.15
113,2015.0,0,0,1995.0,190,20.75
114,2010.0,1,0,1799.0,130,3.35
115,2014.0,1,0,2494.0,100.6,11.11
116,2014.0,0,0,1984.0,150,20.0
117,2016.0,0,0,1198.0,75.94,6.55
118,2009.0,0,0,2497.0,215,7.0
119,2016.0,1,0,1248.0,88.5,7.5
120,2005.0,1,2,1086.0,107.3,0.85
121,2014.0,0,2,2143.0,107.3,16.75
122,2018.0,1,0,1582.0,126.2,10.95
123,2011.0,1,0,998.0,67.1,2.45
124,2017.0,0,0,624.0,37.48,3.23
125,2014.0,1,0,2179.0,120,7.75
126,2009.0,0,0,1796.0,178,9.35
127,2013.0,1,0,998.0,58.16,3.25
128,2007.0,1,2,2354.0,152,5.25
129,2015.0,0,0,1498.0,103.2,7.25
130,2017.0,1,0,1373.0,91.1,7.47
131,2016.0,0,0,2179.0,140,13.25
132,2016.0,1,0,1197.0,85.8,5.81
133,2014.0,1,0,998.0,67.1,2.6
134,2017.0,0,0,2996.0,362.07,54.0
135,2019.0,0,0,1591.0,121.3,11.5
136,2010.0,1,2,796.0,46.3,1.6
137,2015.0,0,0,1995.0,143,17.22
138,2015.0,0,0,1199.0,88.7,6.0
139,2012.0,1,0,1799.0,130,3.95
140,2014.0,0,0,2143.0,170,17.95
141,2014.0,1,0,1498.0,98.6,3.7
142,2016.0,1,0,1197.0,81.8,5.43
143,2008.0,1,3,1086.0,171,1.67
144,2012.0,1,0,2982.0,171,13.49
145,2014.0,1,0,1199.0,76.8,2.85
146,2013.0,1,0,1498.0,103.52,4.75
147,2018.0,1,0,1373.0,91.1,9.9
148,2013.0,0,0,2894.0,444,37.0
149,2014.0,0,0,1995.0,190,26.5
150,2015.0,0,0,1968.0,174.33,23.32
151,2016.0,1,0,1248.0,74,6.25
152,2010.0,0,0,5461.0,362.9,30.0
153,2016.0,0,0,1498.0,103.52,9.86
154,2012.0,0,0,1968.0,138.1,8.5
155,2019.0,1,0,814.0,55.2,4.23
156,2012.0,1,0,1199.0,73.9,3.5
157,2016.0,1,0,1198.0,67.06,2.5
158,2013.0,1,0,1198.0,86.8,2.39
159,2013.0,0,0,1595.0,120.7,11.25
160,2015.0,1,0,1498.0,98.6,7.11
161,2016.0,1,0,2494.0,100.6,10.9
162,2017.0,1,0,1197.0,81.8,6.2
163,2012.0,1,0,2179.0,140,7.9
164,2014.0,1,0,1498.0,89.84,4.42
165,2012.0,1,0,2982.0,168.5,13.5
166,2013.0,0,0,1498.0,108.5,6.25
167,2010.0,1,2,1399.0,68,2.1
168,2015.0,0,0,2993.0,258,45.0
169,2017.0,0,0,2143.0,167.62,33.66
170,2012.0,1,2,1198.0,86.8,3.65
171,2013.0,1,0,1197.0,78.9,2.75
172,2016.0,0,0,2143.0,81.86,42.5
173,2019.0,1,0,1197.0,81.86,6.5
174,2012.0,0,2,1968.0,174.33,19.0
175,2013.0,0,2,1598.0,103.6,4.45
176,2017.0,0,2,1998.0,112,23.0
177,2014.0,1,0,1396.0,88.73,8.35
178,2014.0,0,0,1968.0,174.33,22.95
179,2012.0,1,0,936.0,57.6,1.5
180,2012.0,0,0,1798.0,157.75,6.89
181,2006.0,1,2,1399.0,68,1.45
182,2014.0,0,0,1995.0,190,33.5
183,2007.0,1,0,1598.0,102.5,1.25
