,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage (kmpl),Engine (CC),Power (bhp),Seats,Price
0,1200,9,2010.0,72000.0,0,1,0,26.6,998.0,58.16,5.0,1.75
1,512,10,2015.0,41000.0,1,1,0,19.7,1582.0,126.2,5.0,12.5
2,486,2,2011.0,46000.0,4,1,0,18.2,1199.0,88.7,5.0,4.5
3,1059,2,2012.0,87000.0,1,1,0,20.8,1248.0,88.76,7.0,6.0
4,23,3,2013.0,40670.0,1,0,2,15.2,1968.0,140.8,5.0,17.74
5,530,5,2012.0,75000.0,3,1,0,21.1,814.0,55.2,5.0,2.35
6,1378,6,2013.0,86999.0,1,1,0,23.1,1461.0,63.1,5.0,3.5
7,1778,9,2016.0,36000.0,1,0,0,11.4,2755.0,171.5,8.0,17.5
8,1847,10,2013.0,64430.0,1,1,0,20.5,1598.0,103.6,5.0,5.2
9,1582,2,2012.0,65932.0,1,1,2,22.3,1248.0,74,5.0,1.95
10,1038,7,2018.0,60000.0,4,1,0,21.6,1462.0,103.25,5.0,9.95
11,422,8,2012.0,60000.0,4,0,0,16.8,1497.0,116.3,5.0,4.49
12,1160,6,2015.0,64424.0,1,1,0,25.2,1248.0,74,5.0,5.6
13,813,4,2014.0,72000.0,1,0,0,12.7,2179.0,187.7,5.0,27.0
14,810,10,2012.0,85000.0,1,0,2,13.5,2179.0,115,5.0,17.5
15,1369,4,2014.0,110000.0,1,1,0,13.5,2477.0,175.56,7.0,15.0
16,367,7,2016.0,58950.0,1,1,0,25.8,1498.0,98.6,5.0,5.4
17,1124,6,2017.0,25000.0,1,1,0,28.4,1248.0,74,5.0,5.99
18,1445,7,2014.0,77469.0,1,1,0,20.5,1461.0,83.8,5.0,6.34
19,1319,1,2014.0,78500.0,1,0,0,14.8,2143.0,167.62,5.0,28.0
20,74,7,2014.0,32982.0,1,0,0,22.7,1995.0,190,5.0,18.55
21,1099,1,2015.0,55392.0,1,1,2,23.7,1248.0,88.5,5.0,8.25
22,33,9,2015.0,55985.0,4,0,0,13.5,1984.0,177.01,5.0,23.5
23,714,8,2010.0,45807.0,4,1,0,14.4,1197.0,80,5.0,1.87
24,1856,8,2010.0,33000.0,4,0,0,14.4,1598.0,103.6,5.0,2.85
25,426,9,2012.0,51920.0,4,1,0,16.8,1461.0,116.3,5.0,4.25
26,1378,5,2012.0,54000.0,1,1,0,23.1,1461.0,63.1,5.0,4.25
27,960,5,2013.0,54000.0,4,1,2,20.9,998.0,67.1,5.0,2.75
28,499,7,2018.0,37430.0,4,1,0,17.5,2494.0,88.7,5.0,9.9
29,1759,9,2007.0,262000.0,1,1,1,12.8,2494.0,108.45,7.0,4.0
30,1437,1,2013.0,62000.0,1,1,0,19.0,1461.0,108.45,5.0,7.75
31,1692,4,2012.0,87615.0,4,1,0,14.5,1798.0,138.1,5.0,6.75
32,901,1,2013.0,72000.0,1,0,2,11.2,2696.0,184,7.0,12.5
33,25,8,2010.0,35000.0,1,0,0,12.4,2698.0,179.5,5.0,11.5
34,1844,3,2014.0,55431.0,4,1,2,16.1,1598.0,103.5,5.0,6.98
35,1199,6,2009.0,83816.0,4,1,2,14.0,1061.0,64,5.0,1.85
36,1183,7,2018.0,50075.0,1,1,0,24.3,1248.0,88.5,5.0,8.63
37,849,4,2017.0,52000.0,4,1,0,18.2,1198.0,82,5.0,4.85
38,1300,10,2013.0,85000.0,1,0,0,11.7,2987.0,254.8,5.0,28.0
39,1825,2,2013.0,62000.0,1,1,0,22.1,1199.0,73.9,5.0,5.0
40,970,4,2008.0,90000.0,4,1,2,19.7,796.0,46.3,5.0,1.25
41,1619,7,2014.0,19698.0,4,1,0,25.4,624.0,37.5,4.0,1.53
42,847,3,2017.0,22033.0,1,1,0,25.3,1198.0,77,6.0,5.58
43,762,7,2014.0,35487.0,4,1,0,18.5,1197.0,82.9,5.0,4.74
44,536,1,2014.0,46374.0,4,0,0,14.6,1999.0,149.92,5.0,8.85
45,1693,9,2016.0,52001.0,4,0,0,14.3,1798.0,138.03,5.0,10.11
46,537,0,2008.0,58005.0,1,1,2,14.9,1991.0,112.2,5.0,4.25
47,1776,1,2012.0,70704.0,4,1,0,11.3,2694.0,163.7,7.0,10.95
48,668,6,2014.0,75000.0,1,1,0,24.4,1120.0,71,5.0,3.85
49,908,6,2012.0,75800.0,1,1,2,16.6,2498.0,105,6.0,5.5
50,8,7,2015.0,13648.0,1,0,0,17.1,1968.0,174.33,5.0,21.43
51,1147,4,2014.0,52000.0,1,1,0,22.9,1248.0,74,5.0,4.25
52,1156,8,2014.0,53000.0,1,1,0,17.8,1248.0,75,5.0,3.3
53,1159,4,2013.0,65650.0,1,1,0,28.4,1248.0,74,5.0,3.85
54,577,2,2015.0,54000.0,4,1,3,18.9,1197.0,82,5.0,3.6
55,1845,8,2015.0,39000.0,4,1,0,15.0,1598.0,103.2,5.0,3.99
56,1459,7,2017.0,16542.0,4,1,0,25.2,799.0,53.3,5.0,3.3
57,687,8,2010.0,32000.0,4,1,0,20.4,1197.0,78.9,5.0,2.07
58,1413,5,2010.0,121812.0,1,0,0,13.3,1995.0,147.6,5.0,7.75
59,1226,5,2010.0,39300.0,4,1,0,18.2,998.0,67.1,5.0,2.25
60,1772,9,2017.0,22000.0,1,1,0,13.7,2393.0,147.8,8.0,16.5
61,329,1,2010.0,72000.0,1,1,0,20.0,1399.0,68,5.0,2.75
62,1314,4,2015.0,58000.0,4,0,0,11.7,1796.0,186,5.0,26.7
63,1302,10,2011.0,65000.0,1,1,2,15.8,2148.0,170,5.0,10.0
64,1577,2,2016.0,178000.0,1,1,0,25.0,1396.0,69,5.0,2.5
65,11,6,2012.0,65664.0,1,0,0,16.6,1968.0,140,5.0,13.5
66,431,9,2007.0,63000.0,4,0,2,16.4,1497.0,78,5.0,1.85
67,1241,3,2019.0,15369.0,1,0,0,24.5,1950.0,194,5.0,35.67
68,1057,10,2016.0,63000.0,1,1,0,24.5,1248.0,88.5,7.0,8.15
69,509,9,2018.0,13000.0,1,1,0,22.1,1396.0,88.7,5.0,10.5
70,1417,9,2008.0,73000.0,4,0,0,8.5,4806.0,500,5.0,14.5
71,925,9,2015.0,55729.0,1,1,0,15.1,2179.0,140,7.0,9.65
72,707,7,2012.0,45178.0,4,0,0,17.0,1197.0,78.9,5.0,3.48
73,1410,7,2015.0,56066.0,1,1,0,19.6,1461.0,108.5,5.0,6.92
74,396,3,2016.0,37300.0,4,0,2,16.5,1198.0,86.8,5.0,6.46
75,24,4,2014.0,56000.0,1,0,2,18.5,1968.0,187.74,5.0,29.5
76,284,6,2008.0,111111.0,1,1,0,17.8,1399.0,132,5.0,2.0
77,1742,2,2006.0,230000.0,4,1,3,12.4,1998.0,132,8.0,4.5
78,1765,5,2012.0,104000.0,1,1,0,12.8,2494.0,102,7.0,11.75
79,601,5,2005.0,87591.0,4,1,0,22.9,1086.0,74,5.0,1.3
80,1159,6,2012.0,95100.0,1,1,0,22.9,1248.0,74,5.0,3.75
81,1666,10,2017.0,70000.0,4,1,0,17.6,1193.0,88.7,5.0,4.5
82,371,7,2016.0,54944.0,4,1,0,18.0,1198.0,86.7,5.0,4.82
83,330,5,2012.0,70337.0,1,1,0,20.0,1399.0,68,5.0,2.8
84,1092,6,2013.0,99638.0,1,1,0,23.2,1248.0,73.94,5.0,3.11
85,447,4,2009.0,52000.0,4,1,0,17.8,1497.0,117.3,5.0,3.25
86,97,4,2011.0,75000.0,1,0,2,16.7,1995.0,218,5.0,13.9
87,706,10,2009.0,16000.0,4,1,0,20.4,1197.0,78.9,5.0,2.25
88,577,1,2016.0,16000.0,4,1,0,18.9,1197.0,82,5.0,5.75
89,605,5,2007.0,73745.0,4,1,0,17.0,1086.0,86.7,5.0,2.1
90,371,9,2016.0,18949.0,4,1,0,17.8,1198.0,86.7,5.0,5.0
91,1736,4,2014.0,107000.0,1,1,0,13.0,2982.0,168.5,7.0,16.5
92,31,3,2018.0,48367.0,1,0,0,17.7,1968.0,174.33,5.0,39.58
93,258,4,2013.0,57000.0,1,1,0,22.7,1498.0,89.84,5.0,5.5
94,924,4,2014.0,58000.0,1,1,0,15.1,2179.0,140,7.0,8.1
95,370,8,2015.0,30000.0,1,1,0,25.8,1498.0,98.6,5.0,3.5
96,1824,8,2013.0,34212.0,1,1,0,22.1,1199.0,73.9,5.0,2.79
97,656,0,2010.0,70002.0,1,1,0,16.2,1493.0,110,5.0,3.45
98,1211,1,2016.0,62000.0,4,1,0,18.9,998.0,67.1,5.0,4.45
99,1833,4,2010.0,62001.0,4,1,0,15.3,1598.0,103.5,5.0,2.65
100,726,10,2011.0,78958.0,1,1,2,23.0,1396.0,90,5.0,3.8
101,750,9,2014.0,30180.0,4,1,0,18.5,1197.0,82.85,5.0,4.65
102,204,10,2017.0,32851.0,4,1,0,19.8,1198.0,67,7.0,3.95
103,15,8,2010.0,30000.0,1,0,0,14.9,2967.0,241.4,5.0,9.8
104,733,10,2009.0,66000.0,4,1,2,17.0,1197.0,80,5.0,2.7
105,1079,3,2010.0,93850.0,4,1,0,14.0,796.0,35,5.0,2.41
106,1714,0,2014.0,53000.0,4,1,0,17.7,1197.0,78.9,5.0,3.9
107,780,5,2011.0,78000.0,1,0,2,14.7,2993.0,270.9,5.0,24.0
108,924,4,2012.0,65000.0,1,1,2,16.0,2179.0,140,7.0,5.75
109,634,8,2014.0,40000.0,1,0,0,22.3,1582.0,126.32,5.0,5.25
110,1779,9,2017.0,30000.0,1,0,0,11.4,2755.0,171.5,7.0,19.25
111,1050,3,2017.0,38053.0,4,1,0,15.1,1196.0,73,5.0,3.91
112,1623,1,2014.0,25500.0,4,1,0,25.4,624.0,37.5,4.0,2.15
113,79,9,2015.0,56087.0,1,0,0,22.7,1995.0,190,5.0,20.75
114,466,4,2010.0,71088.0,4,1,0,13.5,1799.0,130,5.0,3.35
115,1761,0,2014.0,55000.0,1,1,0,13.0,2494.0,100.6,7.0,11.11
116,1867,1,2014.0,32700.0,1,0,0,23.3,1984.0,150,5.0,20.0
