CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1999,0.418398193
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2011,0.512418427
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,63.10635605
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2003,0.435108328
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2011,70.77206081
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,25353.78754
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2011,86.43635475
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2011,16.33176922
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2005,0.421318232
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2011,4.674973764
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1998,2.117921027
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2009,0.506252445
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2009,63.78633115
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,24640.42124
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2009,76.27657838
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2009,16.81207334
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2009,-5.132055593
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2011,0.333115822
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2005,68.54787298
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,20834.93971
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2003,70.85372831
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2005,20.62944369
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2005,77.93313361
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,23302.83199
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1995,84.85617597
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,16441.38126
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1995,86.46362098
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1995,16.612529
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1995,-1.934979475
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1995,2.83062645
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1995,4.619164598
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2003,2.104134709
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,24015.42061
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2006,65.49127454
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2006,0.431336359
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2003,4.162895928
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2003,-3.150534796
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2003,18.33777831
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2009,4.618354806
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2009,0.072993424
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1998,3.026391593
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1998,7.47549382
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1998,0.437550592
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2002,0.434712306
